# Evoluation started on 2022/12/09 07:52:23
# Generation	   Best 	   Average 	   Worst
	244		   1.981	   1.720	   0.866
	245		   2.025	   1.811	   0.975
	246		   2.025	   1.752	   0.880
	247		   2.023	   1.825	   1.106
	248		   2.028	   1.852	   0.927
	249		   2.017	   1.827	   1.044
	250		   2.024	   1.779	   1.066
	251		   2.030	   1.810	   0.998
	252		   2.036	   1.893	   1.201
	253		   2.028	   1.859	   0.982
	254		   2.016	   1.817	   0.894
	255		   2.026	   1.843	   1.121
	256		   2.014	   1.888	   1.154
	257		   2.035	   1.877	   1.028
	258		   2.021	   1.901	   1.007
	259		   2.018	   1.861	   1.091
	260		   2.025	   1.932	   1.335
	261		   2.019	   1.827	   1.098
	262		   2.030	   1.894	   1.141
	263		   2.006	   1.874	   1.247
	264		   2.025	   1.900	   1.361
	265		   2.030	   1.890	   0.943
	266		   2.020	   1.875	   0.869
	267		   2.019	   1.869	   0.912
	268		   2.029	   1.834	   0.991
	269		   2.025	   1.884	   1.304
	270		   2.022	   1.844	   1.094
	271		   2.029	   1.852	   0.987
	272		   2.031	   1.923	   1.017
	273		   2.014	   1.828	   0.939
	274		   2.030	   1.891	   0.952
	275		   1.997	   1.801	   1.030
	276		   2.023	   1.889	   1.109
	277		   2.009	   1.835	   0.951
	278		   2.026	   1.899	   0.992
	279		   2.037	   1.932	   1.034
	280		   2.023	   1.883	   1.033
	281		   2.017	   1.874	   0.930
	282		   2.033	   1.920	   1.338
	283		   2.024	   1.833	   0.910
	284		   2.030	   1.921	   1.165
	285		   2.036	   1.929	   1.233
	286		   2.032	   1.890	   0.910
	287		   2.029	   1.926	   1.118
	288		   2.020	   1.830	   0.813
	289		   2.021	   1.898	   1.050
	290		   2.010	   1.861	   0.855
	291		   2.002	   1.859	   1.058
	292		   2.016	   1.880	   1.093
	293		   2.012	   1.888	   1.299
	294		   2.025	   1.894	   1.185
	295		   2.008	   1.865	   1.350
	296		   2.026	   1.904	   1.298
	297		   2.032	   1.888	   1.013
	298		   2.025	   1.862	   1.055
	299		   2.024	   1.830	   1.129
	300		   2.019	   1.801	   1.034
	301		   2.022	   1.822	   1.135
	302		   2.026	   1.855	   1.073
	303		   2.040	   1.918	   1.158
	304		   2.038	   1.889	   1.075
	305		   2.038	   1.881	   0.996
	306		   2.039	   1.892	   1.265
	307		   2.018	   1.834	   1.006
	308		   2.038	   1.925	   0.999
	309		   2.041	   1.918	   1.112
	310		   2.021	   1.812	   1.117
	311		   2.028	   1.865	   1.114
	312		   2.029	   1.862	   1.042
	313		   2.038	   1.910	   1.177
	314		   2.033	   1.895	   1.226
	315		   2.035	   1.856	   1.251
	316		   2.032	   1.846	   0.931
	317		   2.026	   1.795	   1.069
	318		   2.023	   1.868	   1.152
	319		   2.020	   1.824	   0.898
	320		   2.024	   1.755	   0.892
	321		   2.014	   1.790	   1.133
	322		   2.033	   1.770	   1.014
	323		   2.027	   1.764	   1.031
	324		   2.031	   1.818	   1.040
	325		   2.012	   1.760	   1.079
	326		   2.017	   1.811	   1.254
	327		   2.031	   1.816	   1.063
	328		   2.032	   1.840	   1.142
	329		   2.034	   1.925	   1.042
	330		   2.030	   1.889	   1.184
	331		   2.025	   1.905	   0.911
	332		   2.028	   1.940	   1.225
	333		   2.016	   1.873	   0.905
	334		   2.024	   1.871	   1.170
	335		   2.032	   1.896	   0.993
	336		   2.012	   1.797	   1.205
	337		   2.020	   1.800	   1.089
	338		   2.028	   1.844	   0.862
	339		   2.028	   1.890	   1.123
	340		   2.020	   1.831	   0.788
	341		   2.011	   1.813	   1.134
	342		   2.023	   1.844	   0.959
	343		   2.029	   1.835	   0.939
	344		   2.023	   1.836	   1.107
	345		   2.040	   1.913	   1.056
	346		   2.024	   1.841	   1.030
	347		   2.022	   1.852	   0.924
	348		   2.025	   1.818	   0.970
	349		   2.031	   1.838	   1.124
	350		   2.034	   1.877	   1.121
	351		   2.031	   1.832	   0.853
	352		   2.023	   1.830	   1.018
